"source","category","name","canonical_url","cli_identifier","scraped_description","implementation_prompt"
"Arlan Vault","","Amo hover button","https://arlan.me/vault/amo","","On amo a small pill button reveals a short video when you hover it, where the word puffs up into glossy 3D letters. The puffy part is only a video, so the button just plays it on hover and resets on leave, which means you can generate your own clip with any AI video model and drop it in.","Build an original interactive web study called **Amo hover button**. Start from this visual direction: On amo a small pill button reveals a short video when you hover it, where the word puffs up into glossy 3D letters. The puffy part is only a video, so the button just plays it on hover and resets on leave, which means you can generate your own clip with any AI video model and drop it in. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Apple's corners","https://arlan.me/vault/squircle","","A normal rounded corner has a tiny kink where it meets the flat edge. You feel it before you can name it. Apple fixes this with a squircle, a corner that eases in smooth. Here is the real one on a live button you can play with.","Build an original interactive web study called **Apple's corners**. Start from this visual direction: A normal rounded corner has a tiny kink where it meets the flat edge. You feel it before you can name it. Apple fixes this with a squircle, a corner that eases in smooth. Here is the real one on a live button you can play with. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Arcade pixel","https://arlan.me/vault/arcade-pixel","","The letters look pixelated, but there is no pixel grid anywhere: the word is just drawn tiny and blown up, so every little pixel becomes a big square.","Build an original interactive web study called **Arcade pixel**. Start from this visual direction: The letters look pixelated, but there is no pixel grid anywhere: the word is just drawn tiny and blown up, so every little pixel becomes a big square. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Chromatic glow","https://arlan.me/vault/chroma-glow","","I wanted light that blooms out soft and pulls the colors apart at the edges.","Build an original interactive web study called **Chromatic glow**. Start from this visual direction: I wanted light that blooms out soft and pulls the colors apart at the edges. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Dia Browser's gradient","https://arlan.me/vault/dia-gradient","","Dia Browser has a soft glow at the bottom of the screen. A row of blurry colour bars, short on the sides and tall in the middle, going from dark up through blue, white, yellow, red and pink, then fading out at the top. It grows up from the floor when the page loads.","Build an original interactive web study called **Dia Browser's gradient**. Start from this visual direction: Dia Browser has a soft glow at the bottom of the screen. A row of blurry colour bars, short on the sides and tall in the middle, going from dark up through blue, white, yellow, red and pink, then fading out at the top. It grows up from the floor when the page loads. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Fade motion","https://arlan.me/vault/fade-motion","","Thought this was a blur. It's two hundred copies of the word stacked almost invisibly, and the fade is just where a lot of them piled up.","Build an original interactive web study called **Fade motion**. Start from this visual direction: Thought this was a blur. It's two hundred copies of the word stacked almost invisibly, and the fade is just where a lot of them piled up. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Figma vector editor","https://arlan.me/vault/vector-editor","","You know that Figma look everyone copies: the thin blue box around a thing, the little corner squares, the size tag under it, and the dots you grab to bend a shape. I wanted to see if I could build it for the web, so here it is.","Build an original interactive web study called **Figma vector editor**. Start from this visual direction: You know that Figma look everyone copies: the thin blue box around a thing, the little corner squares, the size tag under it, and the dots you grab to bend a shape. I wanted to see if I could build it for the web, so here it is. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Ghosty reveal","https://arlan.me/vault/ghosty-reveal","","I love it when photos do not just fade in. The good ones bleed in through a soft, cloudy edge, like the image is forming out of fog. It looks expensive and hard to build. It is neither.","Build an original interactive web study called **Ghosty reveal**. Start from this visual direction: I love it when photos do not just fade in. The good ones bleed in through a soft, cloudy edge, like the image is forming out of fog. It looks expensive and hard to build. It is neither. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Holo","https://arlan.me/vault/holo","","Airbnb's identity card, rebuilt as a holo card for my girlfriend. Tilt it and the foil catches the light, the hearts come up on the side you turned, and her photo flips its colours.","Build an original interactive web study called **Holo**. Start from this visual direction: Airbnb's identity card, rebuilt as a holo card for my girlfriend. Tilt it and the foil catches the light, the hearts come up on the side you turned, and her photo flips its colours. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
"Arlan Vault","","Kinetic typography","https://arlan.me/vault/kinetic-typography","","A letter is cut into a grid of tiles, and each tile slips on its own wave, so the whole letter ripples like water.","Build an original interactive web study called **Kinetic typography**. Start from this visual direction: A letter is cut into a grid of tiles, and each tile slips on its own wave, so the whole letter ripples like water. Keep the effect focused on that single idea, expose the principal visual controls, make the resting state clear and accessible, provide a reduced-motion fallback, and avoid copying source code or proprietary artwork from the reference."
